,RawImage
35,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1018_virus_1706.jpeg
36,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person975_virus_1650.jpeg
37,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person449_bacteria_1940.jpeg
38,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person505_virus_1017.jpeg
39,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person162_virus_319.jpeg
40,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person82_virus_154.jpeg
41,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1253_bacteria_3211.jpeg
42,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1395_virus_2398.jpeg
43,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person496_bacteria_2095.jpeg
44,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person53_bacteria_254.jpeg
45,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person74_bacteria_362.jpeg
46,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1600_virus_2777.jpeg
47,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1363_virus_2346.jpeg
48,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person465_bacteria_1980.jpeg
49,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1735_bacteria_4570.jpeg
50,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1731_bacteria_4563.jpeg
51,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person55_bacteria_265.jpeg
52,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person977_virus_1652.jpeg
53,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person482_bacteria_2045.jpeg
54,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person620_virus_1191.jpeg
55,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person647_bacteria_2539.jpeg
56,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person448_bacteria_1934.jpeg
57,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person475_virus_972.jpeg
58,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1510_virus_2629.jpeg
59,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1343_bacteria_3411.jpeg
60,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person72_bacteria_353.jpeg
61,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1062_bacteria_2996.jpeg
62,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person423_bacteria_1857.jpeg
63,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person582_bacteria_2405.jpeg
64,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person64_bacteria_316.jpeg
65,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1361_virus_2344.jpeg
66,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1458_virus_2501.jpeg
67,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person442_virus_900.jpeg
68,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person465_bacteria_1979.jpeg
69,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1455_virus_2489.jpeg
70,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1784_bacteria_4631.jpeg
71,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person364_bacteria_1660.jpeg
72,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person51_bacteria_248.jpeg
73,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1016_bacteria_2947.jpeg
74,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person547_bacteria_2296.jpeg
75,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1940_bacteria_4859.jpeg
76,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1371_virus_2362.jpeg
77,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1526_virus_2660.jpeg
78,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1238_virus_2098.jpeg
79,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person495_bacteria_2094.jpeg
80,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1699_bacteria_4498.jpeg
81,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person519_virus_1038.jpeg
82,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person392_virus_782.jpeg
83,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person931_bacteria_2856.jpeg
84,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person806_virus_1440.jpeg
85,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person753_virus_1378.jpeg
86,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1432_bacteria_3699.jpeg
87,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person754_virus_1379.jpeg
88,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person968_virus_1642.jpeg
89,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person935_virus_1597.jpeg
90,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1709_bacteria_4524.jpeg
91,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person306_bacteria_1439.jpeg
92,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person798_virus_1430.jpeg
93,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person563_bacteria_2335.jpeg
94,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person319_bacteria_1476.jpeg
95,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1320_bacteria_3344.jpeg
96,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person253_bacteria_1156.jpeg
97,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1803_bacteria_4652.jpeg
98,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1139_bacteria_3082.jpeg
99,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1496_bacteria_3907.jpeg
100,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1411_bacteria_3591.jpeg
101,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person515_bacteria_2186.jpeg
102,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1107_virus_1832.jpeg
103,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1748_bacteria_4588.jpeg
104,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person385_virus_770.jpeg
105,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1349_bacteria_3439.jpeg
106,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1242_virus_2108.jpeg
107,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person469_virus_965.jpeg
108,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person673_virus_1263.jpeg
109,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person357_virus_734.jpeg
110,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person548_bacteria_2298.jpeg
111,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person134_virus_268.jpeg
112,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person97_virus_181.jpeg
113,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1098_bacteria_3039.jpeg
114,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person598_virus_1154.jpeg
115,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1317_virus_2273.jpeg
116,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1223_bacteria_3178.jpeg
117,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person645_bacteria_2537.jpeg
118,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person332_bacteria_1534.jpeg
119,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person41_bacteria_206.jpeg
120,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1609_bacteria_4236.jpeg
121,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person255_bacteria_1188.jpeg
122,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person427_bacteria_1868.jpeg
123,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1684_bacteria_4461.jpeg
124,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1524_virus_2658.jpeg
125,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1454_bacteria_3781.jpeg
126,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person461_virus_949.jpeg
127,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person786_bacteria_2690.jpeg
128,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person600_virus_1156.jpeg
129,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person617_bacteria_2488.jpeg
130,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1430_bacteria_3697.jpeg
131,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1333_bacteria_3386.jpeg
132,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person24_bacteria_112.jpeg
133,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person338_bacteria_1567.jpeg
134,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person933_bacteria_2858.jpeg
135,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person278_bacteria_1311.jpeg
136,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person296_bacteria_1395.jpeg
137,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person574_bacteria_2370.jpeg
138,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1576_bacteria_4129.jpeg
139,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person333_virus_688.jpeg
140,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person96_virus_179.jpeg
141,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person775_bacteria_2679.jpeg
142,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1492_virus_2599.jpeg
143,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1538_bacteria_4021.jpeg
144,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1308_bacteria_3285.jpeg
145,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1424_bacteria_3651.jpeg
146,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person395_bacteria_1795.jpeg
147,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1375_virus_2366.jpeg
148,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person339_virus_695.jpeg
149,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person516_bacteria_2191.jpeg
150,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person991_virus_1669.jpeg
151,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person549_bacteria_2307.jpeg
152,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1274_bacteria_3235.jpeg
153,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person596_bacteria_2441.jpeg
154,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person256_bacteria_1189.jpeg
155,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person757_virus_1385.jpeg
156,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person487_bacteria_2059.jpeg
157,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person484_virus_986.jpeg
158,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person36_bacteria_183.jpeg
159,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1454_bacteria_3778.jpeg
160,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1291_virus_2217.jpeg
161,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person334_bacteria_1544.jpeg
162,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1339_bacteria_3402.jpeg
163,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person125_virus_254.jpeg
164,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person371_bacteria_1703.jpeg
165,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person346_virus_708.jpeg
166,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person388_virus_777.jpeg
167,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1549_virus_2690.jpeg
168,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1918_bacteria_4825.jpeg
169,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person38_bacteria_190.jpeg
170,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person409_bacteria_1824.jpeg
171,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person438_bacteria_1889.jpeg
172,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1796_bacteria_4644.jpeg
173,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1216_bacteria_3168.jpeg
174,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1550_bacteria_4051.jpeg
175,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person647_virus_1228.jpeg
176,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1270_bacteria_3230.jpeg
177,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1403_virus_2406.jpeg
178,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person835_bacteria_2750.jpeg
179,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1353_bacteria_3446.jpeg
180,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1007_virus_1690.jpeg
181,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1017_bacteria_2948.jpeg
182,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person392_bacteria_1787.jpeg
183,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person308_bacteria_1443.jpeg
184,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1446_bacteria_3737.jpeg
185,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person515_bacteria_2190.jpeg
186,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1496_bacteria_3911.jpeg
187,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1311_virus_2259.jpeg
188,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1224_virus_2074.jpeg
189,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person7_bacteria_25.jpeg
190,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person750_bacteria_2653.jpeg
191,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person290_virus_594.jpeg
192,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1320_bacteria_3352.jpeg
193,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1459_virus_2506.jpeg
194,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1698_bacteria_4497.jpeg
195,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1527_bacteria_3990.jpeg
196,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person813_virus_1449.jpeg
197,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person596_virus_1149.jpeg
198,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1459_bacteria_3797.jpeg
199,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1031_bacteria_2963.jpeg
200,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person460_virus_948.jpeg
201,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1850_bacteria_4721.jpeg
202,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person266_bacteria_1238.jpeg
203,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person333_bacteria_1540.jpeg
204,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person66_bacteria_326.jpeg
205,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person509_virus_1024.jpeg
206,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person521_virus_1040.jpeg
207,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1639_bacteria_4345.jpeg
208,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person88_virus_165.jpeg
209,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person338_virus_694.jpeg
210,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person104_virus_191.jpeg
211,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person610_bacteria_2475.jpeg
212,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person41_bacteria_210.jpeg
213,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person68_bacteria_335.jpeg
214,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person737_bacteria_2640.jpeg
215,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1869_bacteria_4745.jpeg
216,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person504_bacteria_2127.jpeg
217,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1486_bacteria_3881.jpeg
218,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person459_bacteria_1956.jpeg
219,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person23_bacteria_102.jpeg
220,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1855_bacteria_4727.jpeg
221,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person281_bacteria_1325.jpeg
222,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person264_virus_547.jpeg
223,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person39_bacteria_200.jpeg
224,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person383_bacteria_1747.jpeg
225,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person937_virus_1599.jpeg
226,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person765_virus_1393.jpeg
227,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person307_bacteria_1441.jpeg
228,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person321_bacteria_1485.jpeg
229,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1112_virus_1837.jpeg
230,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1231_virus_2088.jpeg
231,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person362_virus_741.jpeg
